REFERENCE;type de bijoux;description;image;couleur;TITRE;POIDS OR;type de pierres;Poids pierre;tailles disponibles;quantité_ par_ taille;price_euros;stock;fabrication_possible;evenement
AJR24686;bague;solitaire;;YG;9;1,15;Diamant;0,120;48,50,52,54,56,58,60;1,1,1,1,1,1,1;98;7;NON;mariage,anniversaire
AJR24687;bague;solitaire;;YG;9;1,40;Diamant;0,100;48,50,52,54,56,58,61;1,1,1,1,1,1,1;95;7;OUI;mariage,anniversaire
AJR25175;bague;solitaire;;YG;9;1,40;Diamant;0,080;48,50,52,54,56,58,62;1,1,1,1,1,1,1;87;7;OUI;mariage,anniversaire
AJR25185;bague;solitaire;;YG;9;1,10;Diamant;0,160;48,50,52,54,56,58,63;1,1,1,1,1,1,1;132;7;NON;mariage,anniversaire
AJR25570;bague;solitaire;;YG;9;1,52;Diamant;0,080;48,50,52,54,56,58,64;1,1,1,1,1,1,1;88;7;OUI;mariage,anniversaire
AJR25572;bague;solitaire;;YG;9;1,40;Diamant;0,180;48,50,52,54,56,58,65;1,1,1,1,1,1,1;179;7;NON;mariage,anniversaire
AJR25587;bague;solitaire;;YG;9;1,55;Diamant;0,100;48,50,52,54,56,58,66;1,1,1,1,1,1,1;100;7;OUI;mariage,anniversaire
AJR25589;bague;solitaire;;YG;9;1,20;Diamant;0,120;48,50,52,54,56,58,67;1,1,1,1,1,1,1;100;7;NON;mariage,anniversaire
AJR25665;bague;solitaire;;YG;9;1,70;Diamant;0,100;48,50,52,54,56,58,68;1,1,1,1,1,1,1;103;7;OUI;mariage,anniversaire
AJR25666;bague;solitaire;;YG;9;1,45;Diamant;0,100;48,50,52,54,56,58,69;1,1,1,1,1,1,1;97;7;NON;mariage,anniversaire
AJR25669;bague;solitaire;;YG;9;1,55;Diamant;0,100;48,50,52,54,56,58,70;1,1,1,1,1,1,1;100;7;OUI;mariage,anniversaire
AJR25675;bague;solitaire;;YG;9;1,55;Diamant;0,100;48,50,52,54,56,58,71;1,1,1,1,1,1,1;100;7;OUI;mariage,anniversaire
AJR26298;bague;solitaire;;YG;9;1,80;Diamant;0,070;48,50,52,54,56,58,72;1,1,1,1,1,1,1;85;7;OUI;mariage,anniversaire
AJR26429;bague;solitaire;;YG;9;1,00;Diamant;0,100;48,50,52,54,56,58,73;1,1,1,1,1,1,1;85;7;OUI;mariage,anniversaire
AJR26430;bague;solitaire;;YG;9;1,20;Diamant;0,100;48,50,52,54,56,58,74;1,1,1,1,1,1,1;89;7;OUI;mariage,anniversaire
AJR26431;bague;solitaire;;YG;9;1,55;Diamant;0,140;48,50,52,54,56,58,75;1,1,1,1,1,1,1;132;7;OUI;mariage,anniversaire
AJR26432;bague;solitaire;;YG;9;1,30;Diamant;0,250;48,50,52,54,56,58,76;1,1,1,1,1,1,1;255;7;OUI;mariage,anniversaire
AJR26441;bague;solitaire;;YG;9;1,25;Diamant;0,200;48,50,52,54,56,58,77;1,1,1,1,1,1,1;189;7;OUI;mariage,anniversaire
AJR27788;bague;solitaire;;YG;9;1,15;Diamant;0,093;48,50,52,54,56,58,78;1,1,1,1,1,1,1;85;7;OUI;mariage,anniversaire
AJR27968;bague;solitaire;;YG;9;2,45;Diamant;0,080;48,50,52,54,56,58,79;1,1,1,1,1,1,1;111;7;OUI;mariage,anniversaire
AJR27971;bague;solitaire;;YG;9;2,15;Diamant;0,080;48,50,52,54,56,58,80;1,1,1,1,1,1,1;104;7;OUI;mariage,anniversaire
AJR27972;bague;solitaire;;YG;9;1,40;Diamant;0,080;48,50,52,54,56,58,81;1,1,1,1,1,1,1;85;7;OUI;mariage,anniversaire
AJR27973;bague;solitaire;;YG;9;1,35;Diamant;0,080;48,50,52,54,56,58,82;1,1,1,1,1,1,1;84;7;OUI;mariage,anniversaire
AJR27974;bague;solitaire;;YG;9;2,05;Diamant;0,080;48,50,52,54,56,58,83;1,1,1,1,1,1,1;101;7;OUI;mariage,anniversaire
AJR27975;bague;solitaire;;YG;9;1,65;Diamant;0,080;48,50,52,54,56,58,84;1,1,1,1,1,1,1;91;7;OUI;mariage,anniversaire
AJR27976;bague;solitaire;;YG;9;1,75;Diamant;0,080;48,50,52,54,56,58,85;1,1,1,1,1,1,1;104;7;OUI;mariage,anniversaire
AJR27977;bague;solitaire;;YG;9;1,40;Diamant;0,080;48,50,52,54,56,58,86;1,1,1,1,1,1,1;85;7;OUI;mariage,anniversaire
AJR27978;bague;solitaire;;YG;9;1,05;Diamant;0,040;48,50,52,54,56,58,87;1,1,1,1,1,1,1;53;7;OUI;mariage,anniversaire
AJR27979;bague;solitaire;;YG;9;1,15;Diamant;0,040;48,50,52,54,56,58,88;1,1,1,1,1,1,1;54;7;OUI;mariage,anniversaire
AJR27980;bague;solitaire;;YG;9;1,10;Diamant;0,080;48,50,52,54,56,58,89;1,1,1,1,1,1,1;78;7;OUI;mariage,anniversaire
AJR27981;bague;solitaire;;YG;9;1,20;Diamant;0,080;48,50,52,54,56,58,90;1,1,1,1,1,1,1;79;7;OUI;mariage,anniversaire
AJR29255;bague;solitaire;;YG;9;2,96;Diamant;0,050;48,50,52,54,56,58,91;1,1,1,1,1,1,1;106;7;OUI;mariage,anniversaire
